"","Treatment_ID","Cumulative_time","Species_time","Species_order","N","Resistance.mean","Resistance.sd","Resistance.se"
"1",82,1,1,"Se",1000,0.09358891177,0.000144086196901559,4.55640561600424e-06
"2",82,2,2,"Se",1000,0.21063806863,0.41581195226035,0.0131491284746391
"3",82,3,3,"Se",1000,0.406326367306,1.23901881830806,0.0391812152966381
"4",82,4,4,"Se",1000,0.822506349864,3.283236273864,0.103825047218946
"5",82,5,5,"Se",1000,1.279593661499,5.03897856220335,0.15934649337323
"6",82,6,6,"Se",1000,2.156592760751,8.34767049999394,0.263976519365774
"7",82,7,7,"Se",1000,3.197823999956,12.1027636326326,0.382722990617724
"8",82,8,8,"Se",1000,7.963537056457,96.4073764458082,3.04866892810022
"9",82,9,9,"Se",1000,7.675830805024,37.5782337782181,1.18832809185444
"10",82,10,10,"Se",1000,9.619294277236,39.6082531836249,1.2525229420087
"11",82,11,11,"Se",1000,19.790804681366,144.316331288428,4.56368310430855
"12",82,12,12,"Se",1000,27.522587138612,181.154237586816,5.72859998565623
"13",82,13,13,"Se",1000,39.944671737718,257.581911883844,8.14545525613741
"14",82,14,14,"Se",1000,45.181415823214,251.765157029595,7.96151331683474
"15",82,15,15,"Se",1000,58.197345199491,312.186681997133,9.87220970281625
"16",82,16,16,"Se",1000,71.249708713673,353.973272631411,11.19361772339
"17",82,17,17,"Se",1000,82.127288473764,380.934501637678,12.046206645162
"18",82,18,18,"Se",1000,102.345534221257,442.738345004399,14.0006157770733
"19",82,19,19,"Se",1000,112.895737356412,449.934090591278,14.2281652322497
"20",82,20,20,"Se",1000,139.792122549883,513.332178110623,16.232988790848
"21",82,21,21,"Se",1000,146.772055921971,510.024977781749,16.128405933671
"22",82,22,22,"Se",1000,157.690078600765,515.391973428558,16.2981252380322
"23",82,23,23,"Se",1000,205.786836013129,626.223194304383,19.8029161762803
"24",82,24,24,"Se",1000,215.48680638221,625.178143262737,19.769868760653
"25",82,25,25,"Se",1000,236.500231808954,652.766400921036,20.6422860694111
"26",82,26,26,"Se",1000,253.888515438728,668.120867338239,21.1278369307603
"27",82,27,27,"Se",1000,304.610212746579,767.394462800193,24.2671436624996
"28",82,28,28,"Se",1000,336.067025268795,808.507490498532,25.5672517528231
"29",82,29,29,"Se",1000,346.067805075427,802.863864380113,25.3887846248569
"30",82,30,30,"Se",1000,378.652024802819,827.190151687721,26.1580493739337
"31",82,31,31,"Se",1000,417.924018016262,877.944860911365,27.7630542051964
"32",82,32,32,"Se",1000,428.089944057556,868.382436622221,27.4606637981303
"33",82,33,33,"Se",1000,478.846886112304,922.060451709839,29.1581116776679
"34",82,34,34,"Se",1000,502.441789089674,935.387309736557,29.5795439318491
"35",82,35,35,"Se",1000,544.991320160832,966.712855560979,30.5701446693807
"36",82,36,36,"Se",1000,619.109833904207,1050.3997070704,33.2165552791612
"37",82,37,37,"Se",1000,661.000118981471,1084.67140246361,34.3003214463417
"38",82,38,38,"Se",1000,685.498223737292,1089.69530023281,34.459191043167
"39",82,39,39,"Se",1000,701.072125771765,1087.46224147015,34.388575524777
"40",82,40,40,"Se",1000,769.295957091548,1138.22507865196,35.9938373846449
"41",82,41,41,"Se",1000,742.063941646589,1080.01456302401,34.1530592530736
"42",82,42,42,"Se",1000,806.548288648816,1129.49241333255,35.7176862601118
"43",82,43,43,"Se",1000,838.328336184978,1142.05456567577,36.114936397298
"44",82,44,44,"Se",1000,877.849364158413,1166.67570652288,36.8935252339846
"45",82,45,45,"Se",1000,917.04442122927,1184.72338757075,37.46424301994
"46",82,46,46,"Se",1000,885.267259348121,1131.17094361361,35.7707660482091
"47",82,47,47,"Se",1000,989.132040238457,1199.21982044968,37.9226604783917
"48",82,48,48,"Se",1000,1022.96884552144,1202.97062286504,38.0412712652495
"49",82,49,49,"Se",1000,1049.7664841636,1199.38113871513,37.9277618098617
"50",82,50,50,"Se",1000,1109.74597732437,1223.52336770647,38.6912061239216
"51",82,51,51,"Se",1000,1120.29470304617,1216.14857980623,38.4579948536674
"52",82,52,52,"Se",1000,1137.40845629663,1214.90480112837,38.4186631183956
"53",82,53,53,"Se",1000,1160.43085758594,1213.1522757435,38.3632433996611
"54",82,54,54,"Se",1000,1193.91789617909,1217.25723144435,38.4930534967489
"55",82,55,55,"Se",1000,1258.81967592072,1235.93193149958,39.0835993646989
"56",82,56,56,"Se",1000,1297.33901001064,1238.93602423795,39.178597118255
"57",82,57,57,"Se",1000,1277.28236317271,1212.87783014351,38.3545646677633
"58",82,58,58,"Se",1000,1327.22614993329,1231.88508237174,38.9556267587885
"59",82,59,59,"Se",1000,1340.06828064038,1221.42935117586,38.6249875069737
"60",82,60,60,"Se",1000,1330.00764477062,1203.79631021701,38.0673817919238
