"","Treatment_ID","Cumulative_time","Species_time","Species_order","N","Resistance.mean","Resistance.sd","Resistance.se"
"1",11,1,1,"Ec2",1000,46.85,0,0
"2",11,2,2,"Ec2",1000,96.9469,173.5565892874,5.48834125078562
"3",11,3,3,"Ec2",1000,137.2271,224.764979159224,7.10769272383426
"4",11,4,4,"Ec2",1000,174.46935,258.883631179281,8.18661923461511
"5",11,5,5,"Ec2",1000,210.91707,287.427326419197,9.08925013257351
"6",11,6,6,"Ec2",1000,252.42902,313.495227513775,9.91358954536214
"7",11,7,7,"Ec2",1000,281.74706,328.471529268667,10.3871817900765
"8",11,8,8,"Ec2",1000,322.14774,348.859255120996,11.0318982901211
"9",11,9,9,"Ec2",1000,367.20195,367.626309161743,11.6253646475233
"10",11,10,10,"Ec2",1000,403.14214,380.064959673464,12.0187093138819
"11",11,11,11,"Ec2",1000,444.38448,391.549837683685,12.3818930454967
"12",11,12,12,"Ec2",1000,474.58986,395.302395937103,12.5005593568294
"13",11,13,1,"Ec3",1000,733.417,634.755337077956,20.0727262211427
"14",11,14,2,"Ec3",1000,793.4875,656.425408108309,20.7579940362782
"15",11,15,3,"Ec3",1000,837.559,668.020129121804,21.1246513086468
"16",11,16,4,"Ec3",1000,881.4345,675.053749730179,21.3470739218464
"17",11,17,5,"Ec3",1000,926.856,688.209424867516,21.7630928977587
"18",11,18,6,"Ec3",1000,978.618,694.662800560446,21.967166555623
"19",11,19,7,"Ec3",1000,1033.293,705.918014286287,22.3230876648795
"20",11,20,8,"Ec3",1000,1071.4195,706.783633705977,22.3504609544104
"21",11,21,9,"Ec3",1000,1110.5305,709.136171641018,22.4248547359772
"22",11,22,10,"Ec3",1000,1157.7495,719.285727619913,22.7458118773041
"23",11,23,11,"Ec3",1000,1205.842,720.169474573942,22.7737584098038
"24",11,24,12,"Ec3",1000,1247.437,721.927516354564,22.8293525722888
"25",11,25,1,"Ec2",1000,796.79825,405.901446528257,12.8357307658634
"26",11,26,2,"Ec2",1000,819.71199,405.835869894262,12.8336570506163
"27",11,27,3,"Ec2",1000,836.06531,400.429229521471,12.6626840699418
"28",11,28,4,"Ec2",1000,856.58614,395.985242036381,12.5221528464802
"29",11,29,5,"Ec2",1000,877.99353,392.484499188621,12.4114496374655
"30",11,30,6,"Ec2",1000,898.13956,386.885081947909,12.2343805169629
"31",11,31,7,"Ec2",1000,912.55052,385.801217981392,12.2001057288831
"32",11,32,8,"Ec2",1000,936.12963,375.884661447997,11.8865166769695
"33",11,33,9,"Ec2",1000,947.33481,374.597316274856,11.84580724815
"34",11,34,10,"Ec2",1000,960.6642,368.987407439887,11.668406354306
"35",11,35,11,"Ec2",1000,978.30786,363.671540613054,11.5003038851968
"36",11,36,12,"Ec2",1000,993.6025,356.13908616922,11.2621067610571
