"","Treatment_ID","Cumulative_time","Species_time","Species_order","N","Resistance.mean","Resistance.sd","Resistance.se"
"1",124,1,1,"Ec1",100,51,0,0
"2",124,2,2,"Ec1",100,187.63,405.738556041432,40.5738556041432
"3",124,3,3,"Ec1",100,276.63,516.551114253337,51.6551114253337
"4",124,4,4,"Ec1",100,389.79,601.414243112168,60.1414243112168
"5",124,5,5,"Ec1",100,435.415,616.230935554475,61.6230935554475
"6",124,6,6,"Ec1",100,470.855,617.225988339618,61.7225988339618
"7",124,7,7,"Ec1",100,517.475,628.686523092536,62.8686523092536
"8",124,8,8,"Ec1",100,542.465,631.568287113815,63.1568287113815
"9",124,9,9,"Ec1",100,587.005,646.014129121997,64.6014129121997
"10",124,10,10,"Ec1",100,669.025,669.21445119776,66.921445119776
"11",124,11,11,"Ec1",100,728.74,670.505008982563,67.0505008982563
"12",124,12,12,"Ec1",100,793.315,662.030079785204,66.2030079785204
"13",124,13,1,"Ec3",100,710.302,575.409730518834,57.5409730518834
"14",124,14,2,"Ec3",100,818.103,593.366946009947,59.3366946009947
"15",124,15,3,"Ec3",100,858.53,602.011016292371,60.2011016292371
"16",124,16,4,"Ec3",100,921.742,638.413828326094,63.8413828326094
"17",124,17,5,"Ec3",100,964.962,644.222275741546,64.4222275741546
"18",124,18,6,"Ec3",100,1008.831,650.042693033824,65.0042693033824
"19",124,19,7,"Ec3",100,1031.751,641.014984538607,64.1014984538607
"20",124,20,8,"Ec3",100,1099.341,677.912545400298,67.7912545400298
"21",124,21,9,"Ec3",100,1133.433,662.983576446184,66.2983576446184
"22",124,22,10,"Ec3",100,1200.113,685.974219213268,68.5974219213268
"23",124,23,11,"Ec3",100,1212.918,684.77550968374,68.477550968374
"24",124,24,12,"Ec3",100,1281.408,683.79447923652,68.379447923652
"25",124,25,1,"Ec1",100,1076.42,472.834012774423,47.2834012774423
"26",124,26,2,"Ec1",100,1081.615,475.073071758546,47.5073071758546
"27",124,27,3,"Ec1",100,1112.62,468.292897639712,46.8292897639712
"28",124,28,4,"Ec1",100,1142.235,462.104712077514,46.2104712077514
"29",124,29,5,"Ec1",100,1152.715,465.210326360589,46.5210326360588
"30",124,30,6,"Ec1",100,1165.25,469.509326399122,46.9509326399122
"31",124,31,7,"Ec1",100,1192.39,458.369583029311,45.8369583029311
"32",124,32,8,"Ec1",100,1216.64,452.170026347692,45.2170026347692
"33",124,33,9,"Ec1",100,1223.86,447.924405599107,44.7924405599107
"34",124,34,10,"Ec1",100,1240.995,438.31390379222,43.831390379222
"35",124,35,11,"Ec1",100,1246.235,438.795277125077,43.8795277125077
"36",124,36,12,"Ec1",100,1251.475,439.212980566353,43.9212980566353
