"","Treatment_ID","Cumulative_time","Species_time","Species_order","N","Resistance.mean","Resistance.sd","Resistance.se"
"1",148,1,1,"Ec",100,0.11788225156,0.000834770637941456,8.34770637941456e-05
"2",148,2,2,"Ec",100,0.16909663884,0.218029678193032,0.0218029678193032
"3",148,3,3,"Ec",100,0.19439249339,0.251825390413885,0.0251825390413885
"4",148,4,4,"Ec",100,0.24934537186,0.378136591440476,0.0378136591440476
"5",148,5,5,"Ec",100,0.43385184527,1.05550528454953,0.105550528454953
"6",148,6,6,"Ec",100,0.60032262339,1.34626713022748,0.134626713022748
"7",148,7,7,"Ec",100,1.13301234154,3.56975401941079,0.356975401941079
"8",148,8,8,"Ec",100,2.68333319948,9.18017870796504,0.918017870796504
"9",148,9,9,"Ec",100,2.99318852447,9.67075350050624,0.967075350050624
"10",148,10,10,"Ec",100,3.82923170395,11.3589628322504,1.13589628322504
"11",148,11,11,"Ec",100,3.96800543603,11.3887915756409,1.13887915756409
"12",148,12,12,"Ec",100,4.78101062154,12.5403867768544,1.25403867768544
"13",148,13,13,"Ec",100,7.46441346692,21.4966529112407,2.14966529112407
"14",148,14,14,"Ec",100,8.27340387846,24.4700332246239,2.44700332246239
"15",148,15,15,"Ec",100,10.03274578162,25.6997607743973,2.56997607743973
"16",148,16,16,"Ec",100,10.80983826268,24.0554216284361,2.40554216284361
"17",148,17,17,"Ec",100,31.50044106973,201.491599562339,20.1491599562339
"18",148,18,18,"Ec",100,18.67734390105,57.221525123737,5.72215251237369
"19",148,19,19,"Ec",100,24.95030225479,77.4264472263898,7.74264472263898
"20",148,20,20,"Ec",100,61.15994148439,286.13823547489,28.613823547489
"21",148,21,21,"Ec",100,80.72912797537,296.984229129932,29.6984229129932
"22",148,22,22,"Ec",100,104.18271893154,356.71133257874,35.671133257874
"23",148,23,23,"Ec",100,178.93748877773,516.614769009388,51.6614769009388
"24",148,24,24,"Ec",100,205.28932487231,548.206213701372,54.8206213701372
"25",148,25,25,"Ec",100,220.56450240285,576.219285614851,57.6219285614851
"26",148,26,26,"Ec",100,191.01360795511,517.763094519616,51.7763094519616
"27",148,27,27,"Ec",100,177.51321921511,484.872021864996,48.4872021864996
"28",148,28,28,"Ec",100,224.11065338107,548.619026451896,54.8619026451896
"29",148,29,29,"Ec",100,264.58654568516,602.337350768995,60.2337350768995
"30",148,30,30,"Ec",100,216.09515282863,489.627934398192,48.9627934398192
"31",148,31,31,"Ec",100,251.60765888341,549.304566550966,54.9304566550966
"32",148,32,32,"Ec",100,295.6485139384,601.630273355794,60.1630273355794
"33",148,33,33,"Ec",100,395.47833389329,725.484340713738,72.5484340713738
"34",148,34,34,"Ec",100,415.06173534581,742.31680648859,74.231680648859
"35",148,35,35,"Ec",100,357.15549600569,666.531258601388,66.6531258601388
"36",148,36,36,"Ec",100,445.52116389252,755.800091707214,75.5800091707214
"37",148,37,37,"Ec",100,445.80782342451,735.751095884031,73.5751095884031
"38",148,38,38,"Ec",100,456.95960706031,732.627416252636,73.2627416252636
"39",148,39,39,"Ec",100,454.86750762716,711.897823497309,71.1897823497309
"40",148,40,40,"Ec",100,430.19235157255,674.840816903381,67.4840816903381
"41",148,41,41,"Ec",100,526.04059548563,751.400611292405,75.1400611292405
"42",148,42,42,"Ec",100,609.389876738,815.353953228897,81.5353953228897
"43",148,43,43,"Ec",100,555.17248427398,760.853332366181,76.0853332366181
"44",148,44,44,"Ec",100,635.55608338794,821.992882405067,82.1992882405067
"45",148,45,45,"Ec",100,738.73981654785,876.991989501349,87.6991989501349
"46",148,46,46,"Ec",100,566.00083077005,736.823715968947,73.6823715968947
"47",148,47,47,"Ec",100,674.41017106762,822.388981381714,82.2388981381714
"48",148,48,48,"Ec",100,740.34928602476,858.703561490295,85.8703561490295
"49",148,49,49,"Ec",100,671.27646860705,805.194621034924,80.5194621034924
"50",148,50,50,"Ec",100,781.64841895174,852.217338737495,85.2217338737495
"51",148,51,51,"Ec",100,647.46334933051,759.672454363342,75.9672454363342
"52",148,52,52,"Ec",100,656.60855296949,755.349375840858,75.5349375840858
"53",148,53,53,"Ec",100,716.00475029969,800.298411316516,80.0298411316516
"54",148,54,54,"Ec",100,686.71407573233,778.446265423816,77.8446265423816
"55",148,55,55,"Ec",100,786.88696064926,831.352465577611,83.1352465577611
"56",148,56,56,"Ec",100,909.68308136967,887.572082319636,88.7572082319636
"57",148,57,57,"Ec",100,732.03228676675,791.018240770152,79.1018240770152
"58",148,58,58,"Ec",100,869.85660860613,864.810409163285,86.4810409163285
"59",148,59,59,"Ec",100,934.56887571989,886.097074490509,88.6097074490509
"60",148,60,60,"Ec",100,775.21070110969,802.587288353572,80.2587288353572
